State,Geo-Political Zones,Number_of_Doctors,Number_of_Dentists,Number_of_Nurses,Number_of_other_Health_personels,lat,long
Abia,South-Eastern ,177,37,287,2165,5.4540953,7.5153071
Adamawa,North-Eastern ,402,260,698,3205,9.5129772,12.3881887
Akwa-Ibom,South-South ,345,64,107,953,4.9880607,7.795178278
Anambra,South-Eastern ,628,204,317,1901,6.2183136,6.9531842
Bauchi,North-Eastern ,299,84,893,4274,10.6228284,10.0287754
Bayelsa,South-South ,241,70,201,938,4.7629786,6.028898
Benue,North-Central ,340,50,531,3239,7.3505747,8.7772877
Borno,North-Eastern ,474,23,843,3223,45.9566651,10.17428215
Cross River,South-South ,441,58,543,2983,5.8671966,8.5204774
Delta,South-South ,1158,106,474,1292,33.3926893,-95.6749486
Ebonyi,South-Eastern ,1069,867,603,1646,6.1996918,8.0348906
Edo,South-South ,285,68,325,836,6.6076575,5.9722713
Ekiti,South-West ,857,354,326,2707,7.736891,5.2738326
Enugu,South-Eastern ,748,62,220,2709,6.5536094,7.4143061
FCT,North-Central ,1474,130,622,1496,8.8311228,7.1724673
Gombe,North-Eastern ,462,53,1061,2720,10.38301,11.206567
Imo,South-Eastern ,488,82,415,1722,5.5859456,7.0669651
Jigawa,North-Western ,214,46,956,2516,12.3252362,9.5103296
Kaduna,North-Western ,957,114,1948,4588,10.3825318,7.8533226
Kano,North-Western ,1506,208,1670,6525,11.8948389,8.5364136
Katsina,North-Western ,345,106,707,5682,12.5630825,7.6207063
Kebbi,North-Western ,265,22,858,3611,11.4167574,4.1074545
Kogi,North-Central ,368,50,320,3038,7.7949602,6.6868669
Kwara,North-Central ,1143,655,443,2769,8.8367891,4.6688487
Lagos,South-West ,2397,597,1250,2478,6.4550575,3.3941795
Nasarawa,North-Central ,325,44,404,3233,8.4387868,8.2382849
Niger,North-Central ,264,33,620,3753,9.6187093,6.5475752
Ogun,South-West ,391,105,221,1162,6.9788582,3.4389293
Ondo,South-West ,167,71,286,1397,7.0209686,5.0567477
Osun,South-West ,938,121,288,2213,7.5484047,4.4978307
Oyo,South-West ,1089,140,536,2331,8.2151249,3.5642897
Plateau,North-Central ,1188,74,399,3439,9.0583446,9.6826289
Rivers,South-South ,519,113,322,2666,4.8416028,6.8604088
Sokoto,North-Western ,71,22,183,1722,13.0611195,5.3152203
Taraba,North-Eastern ,180,25,383,2538,8.0141334,10.7376336
Yobe,North-Eastern ,199,126,962,1828,12.1233242,11.5065937
Zamfara,North-Western ,211,47,821,2522,12.0078998,6.4191432
